timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/17 10:45:57.782, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:02.782, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:07.783, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 96 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:12.784, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:17.785, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 95 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:22.786, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:27.788, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:32.788, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:37.790, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:42.791, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:46:47.792, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 95 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
